Time,Amplitude
0.0,0.0
0.001,0.22614109601960725
0.002,0.45196083316759633
0.003,0.67713830924089
0.004,0.9013535347245424
0.005,1.1242878875143478
0.006,1.345624565696287
0.007,1.5650490377393815
0.008,1.7822494894622096
0.009000000000000001,1.99691726713792
0.01,2.208747316108068
0.011,2.4174386142819757
0.012,2.6226945999055973
0.013000000000000001,2.8242235929919954
0.014,3.021739209814565
0.015,3.21496076987398
0.016,3.403613694760539
0.017,3.587429898345113
0.018000000000000002,3.7661481677442037
0.019,3.9395145345177385
0.02,4.107282635572132
0.021,4.269214063255712
0.022,4.425078704149043
0.023,4.574655066068687
0.024,4.717730592819714
0.025,4.854101966249685
0.026000000000000002,4.983575395174876
0.027,5.105966890768151
0.028,5.221102528017154
0.029,5.328818692881267
0.03,5.4289623147961175
0.031,5.521391084195222
0.032,5.605973654739672
0.033,5.682589829968466
0.034,5.751130734104255
0.035,5.8114989667717865
0.036000000000000004,5.863608741409161
0.037,5.907386007175232
0.038,5.942768554179907
0.039,5.969706101887801
0.04,5.988160370569629
0.041,5.9981051356998
0.042,5.9995262652228964
0.043000000000000003,5.992421739636105
0.044,5.976801654859035
0.045,5.952688207886867
0.046,5.9201156652472084
0.047,5.879130314305481
0.048,5.829790397488043
0.049,5.772166029516515
0.05,5.706339097770922
0.051000000000000004,5.632403145923244
0.052000000000000005,5.5504632410067485
0.053,5.460635824109975
0.054,5.363048544907583
0.055,5.257840080263183
0.056,5.145159937161913
0.057,5.02516824025285
0.058,4.898035504303104
0.059000000000000004,4.763942391887012
0.06,4.623079456654736
0.061,4.475646872545093
0.062,4.321854149327442
0.063,4.16191983487683
0.064,3.99607120460551
0.065,3.8245439384921394
0.066,3.6475817861676316
0.067,3.465436220533606
0.068,3.2783660804056156
0.069,3.0866372026890376
0.07,2.8905220446102913
0.07100000000000001,2.6902992965401915
0.07200000000000001,2.486253485959703
0.073,2.2786745731308082
0.074,2.067857539047105
0.075,1.8541019662496852
0.076,1.6377116131039526
0.077,1.4189939821423503
0.078,1.1982598830864424
0.079,0.9758229911693026
0.08,0.7519994013858246
0.081,0.5271071793044589
0.082,0.301465909078618
0.083,0.07539623930011435
0.084,-0.15078057266002542
0.085,-0.37674311717588005
0.08600000000000001,-0.6021702891072911
0.08700000000000001,-0.8267417441078293
0.088,-1.0501383538516538
0.089,-1.2720426595323273
0.09,-1.4921393229891273
0.091,-1.7101155748198547
0.092,-1.925661658843257
0.093,-2.1384712722795034
0.094,-2.348242001023213
0.095,-2.554675749390436
