Time,Amplitude,frequency
0.0,0.0,24
0.001,0.05025622255328715,24
0.002,0.1004569009712702,24
0.003,0.15054656754341622,24
0.004,0.2004699073005266,24
0.005,0.250171834115038,24
0.006,0.2995975664773139,24
0.007,0.34869270284064013,24
0.008,0.3974032964282498,24
0.009000000000000001,0.4456759293964684,24
0.01,0.49345778624898223,24
0.011,0.5406967263983007,24
0.012,0.58734135577169,24
0.013000000000000001,0.6333410973602162,24
0.014,0.6786462606110368,24
0.015,0.7232081095647213,24
0.016,0.7669789296411635,24
0.017,0.8099120929795735,24
0.018000000000000002,0.8519621222400817,24
0.019,0.8930847527766811,24
0.02,0.9332369930935436,24
0.021,0.9723771834991823,24
0.022,1.010465052875499,24
0.023,1.047461773481424,24
0.024,1.083330013713654,24
0.025,1.118033988749895,24
0.026000000000000002,1.1515395090030223,24
0.027,1.1838140263176784,24
0.028,1.2148266778440426,24
0.029,1.2445483275267952,24
0.03,1.2729516051506975,24
0.031,1.3000109428876714,24
0.032,1.3257026092938144,24
0.033,1.350004740708407,24
0.034,1.37289737001066,24
0.035,1.3943624526937037,24
0.036000000000000004,1.4143838902191264,24
0.037,1.4329475506192375,24
0.038,1.450041286318139,24
0.039,1.4656549491466326,24
0.04,1.479780402529987,24
0.041,1.4924115308315915,24
0.042,1.503544245839577,24
0.043000000000000003,1.513176490387524,24
0.044,1.521308239104468,24
0.045,1.5279414962934745,24
0.046,1.533080290942137,24
0.047,1.5367306688724347,24
0.048,1.5389006820414304,24
0.049,1.5396003750083533,24
0.05,1.5388417685876268,24
0.051000000000000004,1.536638840711393,24
0.052000000000000005,1.5330075045290634,24
0.053,1.52796558377533,24
0.054,1.5215327854419645,24
0.055,1.5137306697925532,24
0.056,1.5045826177630963,24
0.057,1.4941137957950983,24
0.058,1.4823511181514357,24
0.059000000000000004,1.4693232067688597,24
0.06,1.4550603487044778,24
0.061,1.4395944512369871,24
0.062,1.4229589946867562,24
0.063,1.4051889830220903,24
0.064,1.3863208923221586,24
0.065,1.3663926171701015,24
0.066,1.3454434150527792,24
0.067,1.3235138488464497,24
0.068,1.300645727470373,24
0.069,1.2768820447929543,24
0.07,1.2522669168775045,24
0.07100000000000001,1.2268455176570554,24
0.07200000000000001,1.2006640131299027,24
0.073,1.1737694941696366,24
0.074,1.146209908045394,24
0.075,1.118033988749895,24
0.076,1.0892911862345094,24
0.077,1.0600315946521526,24
0.078,1.0303058797102196,24
0.079,1.0001652052370253,24
0.08,0.9696611590663191,24
0.081,0.938845678345435,24
0.082,0.907770974373422,24
0.083,0.8764894570761876,24
0.084,0.8450536592261881,24
0.085,0.8135161605145503,24
0.08600000000000001,0.7819295115837381,24
0.08700000000000001,0.7503461581289064,24
0.088,0.7188183651759881,24
0.089,0.6873981416443165,24
0.09,0.656137165301165,24
0.091,0.6250867082150199,24
0.092,0.594297562813708,24
0.093,0.5638199686526197,24
0.094,0.5337035399972558,24
0.095,0.5039971943231787,24
0.096,0.47474908183512426,24
0.097,0.4460065161055827,24
0.098,0.4178159059315686,24
0.099,0.3902226885065564,24
0.1,0.3632712640026805,24
0.101,0.3370049316563085,24
0.10200000000000001,0.3114658274479315,24
0.10300000000000001,0.28669486346506123,24
0.10400000000000001,0.2627316690344246,24
0.105,0.23961453370721975,24
0.106,0.21738035217857032,24
0.107,0.196064571219554,24
0.108,0.17570113869731707,24
0.109,0.1563224547558194,24
0.11,0.13795932522667387,24
0.111,0.12064091733637017,24
0.112,0.10439471777291465,24
0.113,0.0892464931715432,24
0.114,0.07522025307573366,24
0.115,0.06233821542622642,24
0.116,0.050620774627144094,24
0.117,0.04008647223465722,24
0.11800000000000001,0.030751970309898513,24
0.11900000000000001,0.022632027474036698,24
0.12,0.015739477699582838,24
0.121,0.010085211868103516,24
0.122,0.00567816212058081,24
0.123,0.002525289022686006,24
0.124,0.000631571563226907,24
0.125,0.0,24
0.126,0.000631571563226907,24
0.127,0.002525289022686006,24
0.128,0.00567816212058081,24
0.129,0.010085211868103516,24
0.13,0.015739477699582838,24
0.131,0.02263202747403681,24
0.132,0.030751970309898735,24
0.133,0.04008647223465711,24
0.134,0.05062077462714398,24
0.135,0.06233821542622653,24
0.136,0.07522025307573355,24
0.137,0.08924649317154298,24
0.138,0.10439471777291498,24
0.139,0.12064091733636995,24
0.14,0.13795932522667365,24
0.14100000000000001,0.15632245475581974,24
0.14200000000000002,0.1757011386973173,24
0.14300000000000002,0.1960645712195539,24
0.14400000000000002,0.21738035217857044,24
0.145,0.23961453370721908,24
0.146,0.26273166903442435,24
0.147,0.28669486346506134,24
0.148,0.31146582744793094,24
0.149,0.3370049316563083,24
0.15,0.3632712640026803,24
0.151,0.3902226885065557,24
0.152,0.4178159059315685,24
0.153,0.4460065161055825,24
0.154,0.47474908183512365,24
0.155,0.5039971943231785,24
0.156,0.5337035399972556,24
0.157,0.56381996865262,24
0.158,0.5942975628137078,24
0.159,0.6250867082150195,24
0.16,0.656137165301165,24
0.161,0.6873981416443162,24
0.162,0.7188183651759879,24
0.163,0.7503461581289069,24
0.164,0.7819295115837381,24
0.165,0.8135161605145502,24
0.166,0.8450536592261887,24
0.167,0.8764894570761879,24
0.168,0.9077709743734219,24
0.169,0.9388456783454354,24
0.17,0.9696611590663191,24
0.171,1.0001652052370256,24
0.17200000000000001,1.0303058797102203,24
0.17300000000000001,1.060031594652152,24
0.17400000000000002,1.0892911862345094,24
0.17500000000000002,1.1180339887498953,24
0.176,1.1462099080453931,24
0.177,1.1737694941696362,24
0.178,1.2006640131299031,24
0.179,1.226845517657055,24
0.18,1.2522669168775042,24
0.181,1.2768820447929543,24
0.182,1.3006457274703724,24
0.183,1.3235138488464495,24
0.184,1.3454434150527792,24
0.185,1.3663926171701006,24
0.186,1.3863208923221584,24
0.187,1.4051889830220903,24
0.188,1.4229589946867556,24
0.189,1.439594451236987,24
0.19,1.4550603487044782,24
0.191,1.4693232067688595,24
0.192,1.4823511181514355,24
0.193,1.4941137957950983,24
0.194,1.5045826177630963,24
0.195,1.5137306697925534,24
0.196,1.5215327854419645,24
0.197,1.5279655837753299,24
0.198,1.5330075045290634,24
0.199,1.536638840711393,24
0.2,1.5388417685876268,24
0.201,1.5396003750083536,24
0.202,1.5389006820414304,24
0.203,1.5367306688724347,24
0.20400000000000001,1.5330802909421373,24
0.20500000000000002,1.5279414962934745,24
0.20600000000000002,1.521308239104468,24
0.20700000000000002,1.5131764903875238,24
0.20800000000000002,1.5035442458395767,24
0.209,1.4924115308315917,24
0.21,1.4797804025299872,24
0.211,1.465654949146633,24
0.212,1.4500412863181393,24
0.213,1.4329475506192377,24
0.214,1.4143838902191266,24
0.215,1.394362452693704,24
0.216,1.3728973700106604,24
0.217,1.3500047407084075,24
0.218,1.3257026092938144,24
0.219,1.3000109428876718,24
0.22,1.2729516051506982,24
0.221,1.2445483275267952,24
0.222,1.2148266778440429,24
0.223,1.1838140263176788,24
0.224,1.151539509003022,24
0.225,1.1180339887498951,24
0.226,1.0833300137136543,24
0.227,1.0474617734814238,24
0.228,1.010465052875499,24
0.229,0.972377183499183,24
0.23,0.9332369930935432,24
0.231,0.8930847527766812,24
0.232,0.8519621222400822,24
0.233,0.8099120929795733,24
0.234,0.7669789296411637,24
0.23500000000000001,0.7232081095647203,24
0.23600000000000002,0.6786462606110362,24
0.23700000000000002,0.6333410973602159,24
0.23800000000000002,0.587341355771689,24
0.23900000000000002,0.5406967263983001,24
0.24,0.4934577862489825,24
0.241,0.44567592939646905,24
0.242,0.39740329642825095,24
0.243,0.34869270284064,24
0.244,0.2995975664773147,24
0.245,0.2501718341150393,24
0.246,0.20046990730052658,24
0.247,0.15054656754341667,24
0.248,0.10045690097127154,24
0.249,0.05025622255328717,24
0.25,4.898587196589413e-16,24
0.251,-0.0502562225532862,24
0.252,-0.10045690097127055,24
0.253,-0.15054656754341567,24
0.254,-0.2004699073005256,24
0.255,-0.2501718341150383,24
0.256,-0.2995975664773137,24
0.257,-0.3486927028406391,24
0.258,-0.39740329642825,24
0.259,-0.44567592939646816,24
0.26,-0.4934577862489815,24
0.261,-0.5406967263983014,24
0.262,-0.5873413557716897,24
0.263,-0.6333410973602155,24
0.264,-0.6786462606110373,24
0.265,-0.7232081095647214,24
0.266,-0.7669789296411632,24
0.267,-0.8099120929795739,24
0.268,-0.8519621222400817,24
0.269,-0.8930847527766809,24
0.27,-0.9332369930935442,24
0.271,-0.9723771834991823,24
0.272,-1.0104650528754988,24
0.273,-1.0474617734814244,24
0.274,-1.0833300137136541,24
0.275,-1.118033988749895,24
0.276,-1.1515395090030225,24
0.277,-1.1838140263176786,24
