Time,Amplitude
0.0,0.0
0.001,0.1256603988335261
0.002,0.2513009544333748
0.003,0.3769018266993454
0.004,0.5024431817976955
0.005,0.6279051952931337
0.006,0.7532680552793272
0.007,0.8785119655074316
0.008,1.003617148512149
0.009000000000000001,1.1285638487348169
0.01,1.2533323356430426
0.011,1.3779029068463804
0.012,1.5022558912075707
0.013000000000000001,1.626371651948836
0.014,1.7502305897527604
0.015,1.873813145857246
0.016,1.9970998051440703
0.017,2.1200710992205463
0.018000000000000002,2.242707609493812
0.019,2.3649899702372466
0.02,2.486898871648548
0.021,2.6084150628989695
0.022,2.7295193551732515
0.023,2.850192624699761
0.024,2.970415815770349
0.025,3.090169943749474
0.026000000000000002,3.2094360980720955
0.027,3.3281954452298663
0.028,3.446429231745171
0.029,3.5641187871325073
0.03,3.681245526846779
0.031,3.7977909552180105
0.032,3.9137366683720245
0.033,4.029064357136626
0.034,4.143755809932841
0.035,4.257792915650727
0.036000000000000004,4.37115766650933
0.037,4.483832160900322
0.038,4.595798606214878
0.039,4.707039321653325
0.04,4.817536741017153
0.041,4.927273415482915
0.042,5.036232016357608
0.043000000000000003,5.144395337815064
0.044,5.251746299612956
0.045,5.358267949789966
0.046,5.463943467342691
0.047,5.568756164881879
0.048,5.672689491267565
0.049,5.775727034222675
0.05,5.877852522924732
0.051000000000000004,5.979049830575188
0.052000000000000005,6.079302976946055
0.053,6.178596130903343
0.054,6.276913612907005
0.055,6.374239897486897
0.056,6.470559615694443
0.057,6.565857557529565
0.058,6.660118674342517
0.059000000000000004,6.7533280812102445
0.06,6.845471059286886
0.061,6.936533058128049
0.062,7.026499697988492
0.063,7.115356772092854
0.064,7.20309024887907
0.065,7.289686274214116
0.066,7.375131173581739
0.067,7.459411454241821
0.068,7.542513807361038
0.069,7.624425110114479
0.07,7.705132427757892
0.07100000000000001,7.784623015670235
0.07200000000000001,7.862884321366189
0.073,7.9399039864783525
0.074,8.015669848708765
0.075,8.090169943749475
0.076,8.163392507171839
0.077,8.235325976284274
0.078,8.305958991958125
0.079,8.375280400421417
0.08,8.443279255020151
0.081,8.509944817946918
0.082,8.575266561936523
0.083,8.639234171928353
0.084,8.701837546695257
0.085,8.763066800438637
0.08600000000000001,8.822912264349533
0.08700000000000001,8.881364488135446
0.088,8.938414241512637
0.089,8.994052515663709
0.09,9.048270524660197
0.091,9.101059706849956
0.092,9.152411726209175
0.093,9.202318473658703
0.094,9.250772068344581
0.095,9.297764858882513
0.096,9.34328942456612
0.097,9.38733857653874
0.098,9.429905358928645
0.099,9.470983049947444
0.1,9.510565162951535
0.101,9.548645447466429
0.10200000000000001,9.585217890173759
0.10300000000000001,9.620276715860859
0.10400000000000001,9.65381638833274
0.105,9.68583161128631
0.106,9.716317329146738
0.107,9.74526872786577
0.108,9.772681235681935
0.109,9.798550523842469
0.11,9.822872507286887
0.111,9.845643345292054
0.112,9.866859442078681
0.113,9.886517447379141
0.114,9.904614256966513
0.115,9.921147013144779
0.116,9.936113105200084
0.117,9.949510169813001
0.11800000000000001,9.961336091431725
0.11900000000000001,9.97158900260614
0.12,9.980267284282716
0.121,9.987369566060174
0.122,9.992894726405892
0.123,9.996841892833
0.124,9.99921044203816
0.125,10.0
0.126,9.99921044203816
0.127,9.996841892833
0.128,9.992894726405892
0.129,9.987369566060174
0.13,9.980267284282716
0.131,9.97158900260614
0.132,9.961336091431725
0.133,9.949510169813001
0.134,9.936113105200084
0.135,9.921147013144777
